COMPANY,CODE,INDUSTRY
Asian Paints Ltd,ASIANPAINT.NS,Consumer Durables
Britannia Industries Ltd,BRITANNIA.NS,FMCG
Cipla Ltd,CIPLA.NS,Healthcare
Eicher Motors Ltd,EICHERMOT.NS,Automobile
Nestle India Ltd,NESTLEIND.NS,FMCG
Grasim Industries Ltd,GRASIM.NS,Construction
Hero MotoCorp Ltd,HEROMOTOCO.NS,Automobile
Hindalco Industries Ltd,HINDALCO.NS,Metals & Mining
Hindustan Unilever Ltd,HINDUNILVR.NS,FMCG
ITC Ltd,ITC.NS,FMCG
Larsen & Toubro Ltd,LT.NS,Construction
Mahindra & Mahindra Ltd,M&M.NS,Automobile
Reliance Industries Ltd,RELIANCE.NS,Oil & Gas
Tata Consumer Products Ltd,TATACONSUM.NS,FMCG
Tata Motors Ltd,TATAMOTORS.NS,Automobile
Tata Steel Ltd,TATASTEEL.NS,Metals & Mining
Wipro Ltd,WIPRO.NS,Information Technologies
Apollo Hospitals Enterprise Ltd,APOLLOHOSP.NS,Healthcare
Dr Reddys Laboratories Ltd,DRREDDY.NS,Healthcare
Titan Company Ltd,TITAN.NS,Consumer Durables
State Bank of India,SBIN.NS,Financial Services
Bharat Petroleum Corporation Ltd,BPCL.NS,Oil & Gas
Kotak Mahindra Bank Ltd,KOTAKBANK.NS,Financial Services
UPL Ltd,UPL.NS,Chemical
Infosys Ltd,INFY.NS,Information Technologies
Bajaj Finance Ltd,BAJFINANCE.NS,Financial Services
Adani Enterprises Ltd,ADANIENT.NS,Metals & Mining
Sun Pharmaceuticals Industries Ltd,SUNPHARMA.NS,Healthcare
JSW Steel Ltd,JSWSTEEL.NS,Metals & Mining
HDFC Bank Ltd,HDFCBANK.NS,Financial Services
Tata Consultancy Services Ltd,TCS.NS,Information Technologies
ICICI Bank Ltd,ICICIBANK.NS,Financial Services
Power Grid Corporation of India Ltd,POWERGRID.NS,Power
Maruti Suzuki India Ltd,MARUTI.NS,Automobile
IndusInd Bank Ltd,INDUSINDBK.NS,Financial Services
Axis Bank Ltd,AXISBANK.NS,Financial Services
HCL Technologies Ltd,HCLTECH.NS,Information Technologies
Oil & Natural Gas Corpn Ltd,ONGC.NS,Oil & Gas
NTPC Ltd,NTPC.NS,Power
Coal India Ltd,COALINDIA.NS,Oil & Gas
Bharti Airtel Ltd,BHARTIARTL.NS,Telecommunication
Tech Mahindra Ltd,TECHM.NS,Information Technologies
LTIMindtree Ltd,LTIM.NS,Information Technologies
Divis Laboratories Ltd,DIVISLAB.NS,Healthcare
Adani Ports & Special Economic Zone Ltd,ADANIPORTS.NS,Services
HDFC Life Insurance Company Ltd,HDFCLIFE.NS,Financial Services
SBI Life Insurance Company Ltd,SBILIFE.NS,Financial Services
UltraTech Cement Ltd,ULTRACEMCO.NS,Construction
Bajaj Auto Ltd,BAJAJ-AUTO.NS,Automobile
Bajaj Finserv Ltd,BAJAJFINSV.NS,Financial Services
